artist,song,chords
Ed Sheeran,Shape of You,C#m7 F#m7 A B 
Mark Ronson,Uptown Funk (feat. Bruno Mars),Dm7 G7 
Carine,Lolita,
Maroon 5,Sugar,Bbm Ebm7 C# 
Katy Perry,Roar,G D9/F# Em C9 
ELYAZ,Remember Home,
OneRepublic,Counting Stars,Am C G F Dm 
Justin Bieber,Sorry,G# Cm Bb Fm 
Ed Sheeran,Thinking out Loud,D D/F# G A Em A7 Bm 
Katy Perry,Dark Horse,F C Am G E 
Ed Sheeran,Perfect,G# Fm7 C#9 Eb Eb/G 
Alan Walker,Faded,Am F C G 
Passenger,Let Her Go,C D Em G Bm 
Lee Isaacs,Runaway Romeo,
Maroon 5,Girls Like You,C G Am F 
Major Lazer,Lean On (feat. MØ & DJ Snake),Eb5 G5 F5 Bb5 
Kris James,Caught Feelings,
Taylor Swift,Shake It Off,Am C G 
Taylor Swift,Blank Space,F Dm7 Bbadd9 C Gm Bb 
Claire Ernst,Broke,
Adele,Hello,Fm G# Eb C#9 C# Cm 
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),A B C#m G#m 
Lee Isaacs,Postcard,
Justin Bieber,Baby,D Bm G A Bm7 
The Chainsmokers,Closer,C# Eb Fm 
Lee Isaacs,In Another Life,
Dua Lipa,New Rules,Am G F 
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),Am F G C Dm E Em 
Close to Monday,Animals,
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),Fm C# Ab 
Calvin Harris,This Is What You Came For,Am F G C Em 
NIA ROSS,NO GO,
Sia,Chandelier,Bbm Ebm Ab Fm F# 
Meghan Trainor,All About That Bass,A Bm E D 
Bruno Mars,The Lazy Song,B F# E D#7 C#m D#m D# G#m7 
MAGIC!,Rude,F# G# C# A#m Fm G#/C 
Shawn Mendes,Treat You Better,Bbm Ab Gb G# F# C# Csus2 D# 
Lee Isaacs,Watching the Sunset,
Ellie Goulding,Love Me Like You Do,G# D# Fm C# Cm A#m 
John Legend,All of Me,Fm Db Ab Eb Bbm Bbm/Db Db/Eb 
Jealous Friend,Boogie,
Christina Perri,A Thousand Years,Bb F/A Gm7 F Eb Fsus4 Cm7 Gm F4 
Avicii,Wake Me Up - Radio Edit,Bm G D A 
Nicole Ordes,Gravity,
Adele,Rolling in the Deep,Cm Gm Bb Ab G7 
Justin Bieber,What Do You Mean?,
Ryan Robinette,Beach Bummin' - SEGØ Remix,
Fifth Harmony,Worth It (feat. Kid Ink),Cm G Ab Eb Bb 
Rihanna,Diamonds,G Bm A A6 
Ryan Robinette,You Got It (Ryan Riback Remix),
Jason Mraz,I'm Yours,B F# G#m E F(b5) F#m 
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Bb C F Dm 
Bruno Mars,That's What I Like,Ebm7(9) G#4(7/9) Fm7 G#9/Bb Bb7(9-) G#m7 Bbm7 Bbm7/G# F7(13-) Bbm7/F# F7 C#7(9) Gº Aº C#/D# 
Jennifer Lopez,On The Floor,
Ariana Grande,Side To Side,Em B D C 
Gotye,Somebody That I Used To Know,Dm C A#9 Bb C9 
Adele,Someone Like You,A C#m/G# F#m D E4(9) F#m7 D/F# E F#4(9) E/B F#m/C# Bm E/G# E/D 
Tones And I,Dance Monkey,F#m D E C#m 
ZAYN,Dusk Till Dawn (feat. Sia),
The Chainsmokers,Don't Let Me Down,D A E F#m 
Camila Cabello,Havana (feat. Young Thug),Gm Eb D7 
Jessie J,Bang Bang,Cm C Bb B G 
Coldplay,Hymn for the Weekend,Fm Bb Cm G# Eb 
Bruno Mars,Just the Way You Are,F Dm Bb 
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),G#m F# 
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",G Em C D Bm 
David Guetta,Titanium,F# C# Ebm B Eb Bbm 
BTS,Dynamite,C#m F#m7 B E Gm Ebm G#m7 C# F# 
Justin Bieber,Love Yourself,E B/D# C#m F#m A B A9 
Lady Gaga,Bad Romance,F G Am C Em 
a-ha,Take on Me,Bm E A F#m D C# G 
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Em C Am D 
Bruno Mars,24K Magic,Fm Bbm C# Cm 
P!nk,Just Give Me a Reason (feat. Nate Ruess),
Shawn Mendes,Señorita,
James Arthur,Say You Won't Let Go,Bb F Gm Eb 
Taylor Swift,Bad Blood,G D A Bm C Em 
Sam Smith,I'm Not The Only One,F A7 Dm7 Bb9 Bb/C C 
Ellie Goulding,Burn,Bbm F# C# G# Ebm Fm 
Shawn Mendes,Stitches,Bbm G# C# F# 
Carly Rae Jepsen,Call Me Maybe,G Em C D 
Charlie Puth,Attention,D#m C# A#m B 
Lady Gaga,Shallow,Em7 D/F# G C D Cadd9 Em Am Bm A 
Katy Perry,Last Friday Night (T.G.I.F.),B Ab Ebm C# Abm 
Taylor Swift,You Belong With Me,F C# G#m B F# 
Pitbull,Timber (feat. Ke$ha),Em G D C 
Whitney Houston,I Will Always Love You,G Em D C D7 
Sam Smith,Too Good At Goodbyes,Dm F C Gm 
Beyoncé,Halo,A Bm F#m D 
Rick Astley,Never Gonna Give You Up,F#7 G# Fm Bbm F# 
Taylor Swift,Look What You Made Me Do,Am F E G A 
Lukas Graham,7 Years,Gm Bb/D Eb F Gm/D Bb/F Eb/Bb F/C Bb Am 
Ariana Grande,Problem,E F# B G# G#m 
Ed Sheeran,Photograph,E C#m B9 A9 
Katy Perry,Bon appétit,Em F Am 
Bruno Mars,When I Was Your Man,D7 Dm7 C G/B Am Dm G G7 Em Bb Gsus4 F Fm Am7/G 
Ariana Grande,7 rings,
Sia,Elastic Heart,D A E F#m 
Shakira,Hips Don't Lie (feat. Wyclef Jean),Bbm Ebm Ab F Gb 
